ID	sentence	question	1	2	Answer
1417	남성은 엘레베이터를 탔다.	원인	남성은 다른 층으로 이동하려고 한다.	남성은 운동을 한다.	1
1418	생선의 내장을 손질했다.	원인	생선 요리를 할 예정이다.	수족관에 갈 예정이다.	1
1419	엄마가 딸을 칭찬했다.	원인	딸이 방을 어질렀다.	딸이 청소를 도왔다.	2
1420	소년의 목소리가 굵어졌다.	원인	소년이 어려졌다.	소년에게 변성기가 왔다.	2
1421	남자가 케첩통을 힘을 주어 짰다.	원인	케첩이 조금밖에 안 남아서 잘 안 나온다.	케첩통에서 케첩이 잘 나온다.	1
1422	셔츠가 수축되었다.	원인	셔츠에다가 표백제를 뿌렸다.	셔츠를 건조기에 돌렸다.	1
1423	노트북에 물을 쏟았다.	결과	노트북 저장공간이 부족하다.	노트북이 작동하지 않는다.	2
1424	서해 바다에 기름이 둥둥 떠다닌다.	원인	서해 바다는 보호구역이다.	서해 바다에 유조선이 침몰했다.	2
1425	여자가 배영을 시도한다.	결과	여자는 천장을 본다.	여자는 바닥을 본다.	1
1426	피아노 건반 소리가 잘 들리지 않았다.	원인	피아노가 잘못 조율되었다.	피아노를 조율했다.	1
1427	거실이 깨끗해졌다.	원인	여자가 주방을 청소기로 밀었다.	여자가 거실을 청소기로 밀었다.	2
1428	싱크대 배수구 물이 내려가지 않는다.	원인	배수구를 청소했다.	배수구에 음식물 쓰레기가 잔뜩 쌓였다.	2
1429	과일이 신선했다.	원인	과일을 일주일 동안 상온에 두었다.	과일을 산지 직송으로 배송받았다.	2
1430	거울 앞에 서서 오른손을 들었다.	결과	거울 속의 내가 왼손을 들었다.	거울 속의 내가 오른손을 들었다.	1
1431	강아지가 짖기 시작했다.	원인	방 안에는 아무도 없었다.	누군가 초인종을 눌렀다.	2
1432	머리카락이 자꾸 얼굴에 흘러내린다.	결과	머리를 감는다.	머리를 핀으로 고정한다.	2
1433	남자가 파산 신청을 했다.	원인	남자가 복권에 당첨되어, 목돈을 얻었다.	남자가 사기를 당해, 가진 돈을 전부 잃었다.	2
1434	도자기를 바닥에 떨어트렸다.	결과	도자기가 깨진다.	도자기가 탄력있게 튀어오른다.	1
1435	빙판에 모래를 뿌렸다.	결과	사람들이 빙판에서 미끄러진다.	빙판길이 덜 미끄럽다.	2
1436	물을 묻힌 손에 비누를 문질렀다.	결과	손에 거품이 난다.	비누가 부풀어오른다.	1
1437	내가 응원하는 야구팀이 홈런을 쳤다.	결과	내가 응원하는  팀이 우승했다.	야구장에 사람이 많지 않다.	1
1438	남자가 식단을 시작했다.	원인	남자의 살이 빠졌다.	남자는 살을 빼고자 한다.	2
1439	서퍼들이 다시 바다로 돌아갔다.	원인	서퍼들은 바다에서 상어를 보았다.	서퍼들은 장비 정비를 끝냈다.	2
1440	사람들이 팥죽을 먹는다.	원인	오늘은 설날이다.	오늘은 동지이다.	2
1441	고혈압 약을 처방받았다.	원인	검사 결과 혈압이 높았다.	검사 결과 혈압이 낮았다.	1
1442	여성은 고양이 털 알러지가 있다.	결과	여성은 산책을 한다.	여성은 고양이를 키울 수 없다.	2
1443	산타가 선물을 주었다.	원인	크리스마스이다.	석가탄신일이다.	1
1444	립스틱을 칠했다.	결과	입술 색이 진해졌다.	눈썹 색이 진해졌다.	1
1445	강아지가 10시간동안 수영을 했다.	결과	강아지는 잠을 설쳤다.	강아지는 푹 잤다.	2
1446	여자의 정치적 견해가 바뀌었다.	결과	여자가 소속 정당을 바꿨다.	여자가 국회의원이 되었다.	1
1447	볼펜이 나오지 않았다.	원인	볼펜 심지가 막혔다.	새로운 볼펜을 구입했다.	1
1448	구급대원들이 출동했다.	원인	은행 강도 사건이 발생했다.	응급 환자가 발생했다.	2
1449	의사가 심폐소생술을 시도했다.	원인	환자의 심장이 멈췄다.	환자의 심장이 뛰었다.	1
1450	미술학원에 다니기 시작했다. 	결과	작곡하는 법을 배웠다.	그림을 잘 그리게 되었다.	2
1451	귀에 염증이 생겼다.	결과	귀에서 통증이 느껴졌다.	귀로 소리를 잘 들을 수 있게 되었다.	1
1452	남자는 달리기가 빠르다.	결과	남자는 이어달리기 계주 선수로 뽑혔다.	남자는 줄다리기 선수로 뽑혔다.	1
1453	향수를 뿌린다	결과	독한 모기향을 피웠다.	좋은 향이 난다.	2
1454	여동생에게 동화책을 읽어주었다. 	결과	동생이 미끄럼틀을 탔다. 	동생이 잠에 들었다. 	2
1455	밤새 영화를 봤다.	결과	시력이 나빠졌다.	핸드크림을 발랐다.	1
1456	그 여자는 친구에게 화가 났다.	원인	그 여자는 친구에게 비밀을 이야기했다.	친구가 여자아이에 대한 루머를 퍼뜨리고 다녔다.	2
1457	음식이 싱겁다.	결과	음식에 소금을 넣었다.	음식에 얼음을 넣었다.	1
1458	여자는 사업에 성공하였다.	결과	여자는 부자가 되었다.	여자는 직원을 해고했다.	1
1459	팔에 모기를 물렸다.	결과	팔에 약을 발랐다.	팔에 물을 뿌렸다.	1
1460	여성은 달리기를 했다.	결과	여성은 매우 숨이 차다.	여성은 배가 부르다.	1
1461	비누 거품 위에 물을 뿌렸다.	결과	거품이 헹궈졌다.	거품이 생겼다.	1
1462	그 학생은 선생님에게 벌을 받았다.	원인	그 학생이 선생님께 편지를 썼다.	그 학생이 숙제를 해 오지 않았다.	2
1463	여자가 눈 통증을 느꼈다.	원인	여자가 오랜 시간 걸었다.	여자가 맨눈으로 오랜 시간 태양을 보았다.	2
1464	무릎을 꿇고 두 시간 동안 앉아 있었다.	결과	발이 커졌다.	발이 저리다.	2
1465	도로에 눈이 쌓였다.	결과	교통체증이 심해졌다.	자동차들이 더 빠른 속도로 달린다.	1
1466	여자가 창고를 자물쇠로 걸어 잠갔다.	원인	외부인의 창고 침입을 막고자 한다.	외부인을 창고로 초대하고자 한다.	1
1467	시은이가 약속장소에 비교적 빨리 도착했다.	원인	시은이가 집에서 일찍 나왔다.	시은이가 집에서 늦게 나왔다.	1
1468	알코올솜으로 상처 부위를 닦았다.	결과	상처 부위가 오염되었다.	상처 부위가 소독되었다.	2
1469	에어컨을 켰다. 	결과	방 안이 시원해졌다. 	방 안이 지저분하다. 	1
1470	매미가 운다.	원인	여름이 되었다.	겨울이 되었다.	1
1471	함박눈이 내렸다.	결과	온 세상이 바짝 말라붙었다.	눈이 소복소복 쌓였다.	2
1472	공원에 산책을 나갔다.	원인	날씨가 좋았다.	걷기가 힘들었다.	1
1473	나는 심장 쪽에 손을 댔다. 	결과	심박수가 빨라졌다.	손으로 맥박을 느꼈다.	2
1474	남성이 물고기를 잡았다.	원인	남성은 공부를 하는 중이다.	남성은 낚시를 하는 중이다.	2
1475	파뿌리를 잘라, 흙에 심었다.	결과	파가 자랐다.	파에 열매가 맺혔다.	1
1476	여성이 컵을 씻는다.	원인	여성은 접시에 음식을 담았다.	여성은 컵에 커피를 마셨다.	2
1477	가글을 했다.	결과	구취가 심해졌다.	구취가 사라졌다.	2
1478	에스프레소에 물을 섞었다.	결과	라떼가 되었다.	아메리카노가 되었다.	2
1479	감기에 걸렸다.	결과	열이 나고 오한이 왔다.	수영장에서 놀아서 추웠다.	1
1480	채소를 믹서기에 넣고 버튼을 눌렀다.	결과	채소가 깨끗해졌다.	채소가 모두 갈렸다.	2
1481	여자가 전화로 카페에 주문을 했다.	결과	커피가 집에 배달되었다.	김치찌개가 집에 배달되었다.	1
1482	운전자가 경적을 울린다.	원인	운전자는 우회전을 한다.	다른 차가 운전자의 차선으로 끼어들었다.	2
1483	도서관이 새로 개관했다.	원인	도서관 신축 공사가 완료되었다.	도서관이 문을 닫았다.	1
1484	소년은 장난꾸러기이다.	결과	아이는 동생에게 장난을 쳤다.	아이는 카드 게임을 시작했다.	1
1485	그가 죽었다.	원인	그가 청산가리를 먹었다.	그가 커피를 마셨다.	1
1486	노트북을 초기화했다.	결과	노트북 파일이 모두 삭제되었다.	노트북을 새로 샀다.	1
1487	물병 속의 얼음이 녹았다.	원인	병에 물을 채워 냉동실에 넣었다.	물병을 상온에 두었다.	2
1488	나는 병을 기울였다.	결과	병 안에 있던 물이 얼었다.	병 안에 있던 물이 흘렀다.	2
1489	차 멀미를 했다.	원인	버스를 탔다.	비행기를 탔다.	1
1490	학생이 꾀병을 부린다.	원인	학생은 복통이 있다.	학생은 조퇴하고싶어 한다.	2
1491	여자의 손에 물집이 잡혔다.	원인	여자가 종이를 집었다.	여자가 철봉을 탔다.	2
1492	지저분한 손으로 눈을 비볐다.	결과	안경을 꼈다.	눈이 빨개지고 염증이 났다.	2
1493	자전거를 오래 탔다.	결과	팔이 아프다.	다리가 아프다.	2
1494	뜨거운 차에 설탕을 넣었다.	결과	차가 식었다.	설탕이 녹았다.	2
1495	남성은 이사를 가기로 했다.	원인	남성은 새로운 집을 알아봤다.	남성이 현재 살고 있는 집의 계약 기간이 만료되었다.	2
1496	여자가 기타를 튜닝했다.	결과	기타에서 협화음이 났다.	기타에서 불협화음이 났다.	1
1497	배가 출렁거렸다.	결과	배 멀미를 했다.	차 멀미를 했다.	1
1498	상처난 부위에 연고를 발랐다.	결과	상처가 아물었다.	상처가 덧났다.	1
1499	여성은 허벅지에 근육통을 느낀다.	원인	여성은 전날 운동을 열심히 했다.	여성은 물리치료를 받을 예정이다.	1
1500	여자는 허공을 응시했다.	원인	여자는 지루했다.	여자는 즐거웠다.	1
1501	형광등 불이 꺼졌다.	원인	형광등 스위치를 켰다.	형광등 스위치를 껐다.	2
1502	감자를 얇게 썰어 튀겼다.	결과	감자칩이 만들어졌다.	프렌치 프라이가 만들어졌다.	1
1503	퇴근 후 집에 도착하는 시간이 평소보다 오래 걸렸다.	원인	차를 새로 샀다.	교통체증이 심했다.	2
1504	여자가 보도에서 넘어졌다.	원인	여자가 길을 걷다가 장애물을 밟았다.	여자가 잘 닦인 길을 걸었다.	1
1505	밤새 악몽에 시달렸다.	결과	오후 내내 피곤함을 느꼈다.	오전에 상쾌한 아침을 맞이했다.	1
1506	베갯잇을 칼로 찢었다.	결과	베개가 폭신해졌다.	베개 속의 솜이 터져 나왔다.	2
1507	꽃병이 깨졌다.	원인	휘파람을 불었다.	지진이 났다.	2
1508	비가 그쳤다.	결과	공원에 산책하러 갔다.	인터넷에 날씨를 검색했다.	1
1509	남자는 안대를 썼다.	원인	방이 너무 밝아 잠을 잘 수 없었다.	방이 너무 어두워 잠을 잘 수 없었다.	2
1510	배를 타고 여행을 갔다.	원인	비행기 표가 없었다.	바닷가에 세찬 바람이 불었다.	1
1511	범인이 체포되었다.	원인	탐정이 범인의 단서를 발견하지 못했다.	탐정이 범인의 결정적인 단서를 발견했다.	2
1512	옷을 입은 채 냇가에 들어갔다.	결과	옷이 모두 젖었다.	옷이 모두 말랐다.	1
1513	다이어트를 시작했다.	결과	매일 운동을 한다.	음식을 많이 먹는다.	1
1514	남성은 맛이 잘 느껴지지 않는다.	원인	남성은 운동을 열심히 했다.	남성은 코가 막혔다.	2
1515	여자가 수프를 호호 불었다.	원인	수프가 뜨겁다.	수프가 차갑게 식었다.	1
1516	여자는 혀를 데였다.	원인	여자는 차가운 물을 급하게 마셨다.	여자는 뜨거운 물을 급하게 마셨다.	2
1517	여자는 연인과 크게 싸웠다.	결과	여자는 연인과 여행을 갔다.	여자는 연인과 헤어졌다.	2
1518	코인세탁소에 갔다.	결과	빨래집게가 부러졌다.	이불 세탁을 했다.	2
1519	우리 팀 선수가 농구 골대에 농구공을 넣었다.	결과	우리 팀이 점수를 얻었다.	우리 팀이 점수를 잃었다.	1
1520	한 남성이 슬퍼한다.	원인	남성은 선물을 받았다.	남성의 어머니가 돌아가셨다.	2
1521	사진기의 플래시가 터졌다.	결과	저절로 입이 벌어졌다.	저절로 눈이 깜박였다.	2
1522	지갑을 잃어버렸다.	결과	용돈을 받았다.	카드 분실 신고를 했다.	2
1523	고추를 먹었다.	결과	혀가 얼얼하다.	혀가 말랑하다.	1
1524	자동차 기름이 다 떨어졌다.	결과	주유소에 간다.	정비소에 간다.	1
1525	팝콘이 튀겨지기 시작했다.	원인	팝콘에 버터를 부었다.	옥수수를 전자레인지에 돌렸다.	2
1526	니트를 뜨거운 물로 빨래했다.	결과	니트가 줄어들었다.	니트가 사라졌다.	1
1527	남자는 청바지를 구입했다.	원인	남자는 주민센터에 갔다.	남자는 옷가게에 갔다.	2
1528	아이가 점원에게 돈을 건넸다.	원인	아이가 가게에 물건을 사러 갔다.	아이가 집에 갔다.	1
1529	맨발로 유리조각을 밟았다.	결과	발에 상처가 난다.	유리가 깨진다.	1
1530	자동차가 갑자기 멈췄다.	원인	자동차의 기름이 다 떨어졌다.	목적지에 도착하려면 아직 멀었다.	1
1531	버터를 달군 후라이팬 위에 올렸다.	결과	버터가 녹아 액체가 되었다.	버터가 딱딱하게 굳었다.	1
1532	여자는 내과에 갔다.	원인	여자는 배탈이 났다.	여자는 충치가 생겼다.	1
1533	공부하느라 밤을 샜다.	결과	오늘 수업시간 내내 졸았다. 	오늘 수업은 흥미로웠다.	1
1534	콩을 발효시켰다.	결과	고추장이 완성되었다.	청국장이 완성되었다.	2
1535	된장과 고추장을 섞었다.	결과	간장이 되었다.	쌈장이 되었다.	2
1536	어린 소년이 수영장 난간에 붙어 있다.	원인	소년은 수영 배우는 것을 무서워한다.	인명 구조원이 수영장 옆에서 근무중이다.	1
1537	버터를 실온에 두었다.	결과	버터가 얼었다.	버터가 녹았다.	2
1538	야외 빨랫줄에 린넨 셔츠를 걸었다.	결과	린넨 셔츠가 말랐다.	린넨 셔츠가 얼룩졌다.	1
1539	게임에서 계속 이겼다.	결과	레벨이 떨어졌다.	레벨이 올라갔다.	2
1540	발바닥에 땀이 난다.	원인	밑창이 두꺼운 운동화를 신고 달렸다.	발을 씻었다.	1
1541	여자는 포장지를 구입했다.	원인	여자는 선물을 준비했다.	여자는 선물을 받았다.	1
1542	머리가 아프다.	결과	약을 바닥에 버렸다.	약을 먹었다. 	2
1543	목에 생선 가시가 걸렸다.	결과	목이 따끔거린다.	눈이 따끔거린다.	1
1544	남자가 트라우마를 겪고 있다.	원인	남자가 큰 사고를 당했다.	남자가 밥을 먹었다.	1
1545	여자는 향수를 느꼈다.	원인	여자는 오랜만에 동창을 만났다.	여자는 아이들에게 소리 질렀다.	1
1546	판매원이 환불을 거절했다.	원인	손님이 영수증을 잃어버렸다.	손님이 옷을 샀다.	1
1547	책상이 끈적하다.	결과	책상에 엎드려 잠을 잤다.	책상을 걸레질했다.	2
1548	티비 리모콘의 배터리가 다 닳았다.	결과	티비 채널을 변경할 수 없다.	티비 채널을 마음대로 변경했다.	1
1549	남성은 대학에서 물리를 가르친다.	원인	남성의 전공은 물리학이다.	남성의 전공은 언어학이다.	1
1550	농작물이 모두 시들었다.	원인	가뭄이 심하게 들었다.	알맞은 정도의 비가 내렸다.	1
1551	남자가 우산을 접었다.	원인	밖에 비가 그쳤다.	밖에 비가 내리기 시작했다.	1
1552	마늘 껍질을 벗겼다.	결과	손이 촉촉해졌다.	눈이 알싸했다.	2
1553	간암에 걸렸다.	결과	간을 기증했다.	간 이식을 받았다.	2
1554	여자는 미국 영주권을 취득했다.	원인	여자는 미국에서 오랫동안 살았다.	여자는 한국에서 오랫동안 살았다.	1
1555	휴대폰 배터리가 100퍼센트이다.	원인	4시간 동안 휴대폰 게임을 했다.	충전을 완료했다.	2
1556	나무에서 나뭇잎이 떨어졌다.	결과	나뭇잎이 붉게 물들었다.	나뭇잎이 길가에 쌓였다.	2
1557	휴대폰 밝기를 최대한 낮췄다.	결과	휴대폰 화면이 선명하게 보인다.	휴대폰 화면이 선명하지 않게 보인다.	2
1558	음식물 쓰레기를 버렸다.	원인	음식을 깨끗하게 다 먹었다.	음식물 쓰레기 때문에 악취가 난다.	2
1559	아무도 그 교수의 수업을 수강신청하지 않았다.	결과	그 교수의 수업이 폐강되었다.	그 교수는 매우 인기가 좋다.	2
1560	남성은 욕실 바닥에서 미끄러졌다.	원인	욕실 바닥이 건조했다.	욕실 바닥에 물기가 있었다.	2
1561	여자가 활시위를 당겼다.	결과	과녁에 맞았다.	과녁이 부서졌다.	1
1562	비가 많이 내렸다.	결과	도로가 건조하다.	도로가 젖었다.	2
1563	닭이 계란을 품었다.	결과	병아리가 부화하였다.	계란이 깨졌다.	1
1564	소녀가 랜드마크 앞에서 포즈를 취하고 있다.	원인	소녀의 어머니가 소녀의 사진을 찍고 있다.	소녀의 아버지가 떠날 채비를 하고 있다.	1
1565	배드버그에 물렸다.	결과	이불을 빨았다.	이불을 갰다.	1
1566	도서관이 문을 닫았다.	원인	도서관의 정기휴일이다.	새로운 도서관이 생겼다.	1
1567	야구경기에서 득점이 발생했다.	원인	타자가 홈런을 쳤다.	타자가 삼진 아웃 되었다.	1
1568	아이에게 자장가를 불러주었다.	결과	아이가 잠에 들지 못했다.	아이가 잠에 들었다.	2
1569	유성펜으로 쓴 글씨에 물을 뿌렸다.	결과	글씨가 지워졌다.	글씨가 지워지지 않았다.	2
1570	머리에서 냄새가 난다.	결과	머리를 감았다.	몸을 닦았다.	1
1571	학생이 숙제를 제출했다.	결과	선생님에게 칭찬을 받았다.	선생님에게 꾸중을 들었다.	1
1572	비행기가 난기류를 만났다.	결과	비행기가 흔들린다.	비행기가 안정적으로 운행된다.	1
1573	사람들이 모두 건물 밖으로 대피했다.	원인	건물에 화재 경보가 작동했다.	건물 안의 사람들이 모두 곤히 잠들었다.	1
1574	서점에서 책을 구매했다.	원인	읽고 싶은 책이 있었다.	서점이 멀리 있다.	1
1575	사무실이 시끄럽다.	원인	사무실 옆 건물이 공사중이다.	사무실에 혼자 앉아있다.	1
1576	배에서 꼬르륵 소리가 난다.	원인	아침을 까먹고 먹지 않았다.	아침을 배부르게 먹었다.	1
1577	남성이 식후 혈당을 체크한다.	원인	남성은 치매가 있다.	남성은 당뇨가 있다.	2
1578	마이크에 대고 말을 한다.	결과	목소리가 크게 울린다.	목소리가 들리지 않는다.	1
1579	바늘로 풍선을 터뜨렸다.	결과	풍선에서 큰 소리가 났다.	풍선이 커졌다.	1
1580	밀크티에서 시큼한 냄새가 난다.	원인	밀크티를 버렸다.	밀크티가 상했다.	2
1581	동물원에 갔다.	결과	좋아하는 책을 봤다.	사자를 봤다.	2
1582	여자는 상금을 받았다.	원인	여자는 대회에서 우승했다.	여자는 대회에 출전하지 않았다.	1
1583	배탈이 났다.	결과	비타민을 먹었다.	소화제를 먹었다.	2
1584	여자가 장시간 동안 철봉을 탔다.	결과	손에 물집이 잡혔다.	발에 물집이 잡혔다.	1
1585	대도시의 밤하늘에 별이 많이 보인다.	원인	대도시의 인구 수가 많다.	공기가 매우 맑은 날이다.	1
1586	여자가 복권 당첨금을 수령했다.	원인	여자가 복권에 당첨되었다.	여자가 복권에 당첨되지 않았다.	1
1587	알람 시계가 울린다.	결과	알람을 맞추었다.	알람을 듣고 일어났다.	2
1588	감독이 촬영 시작 사인을 냈다.	결과	배우가 연기를 시작했다.	배우가 연기를 마쳤다.	1
1589	텀블러를 가져오지 않았다. 	결과	밥을 먹지 못했다.	물을 마시지 못했다.	2
1590	갑자기 브레이크를 밟았다.	원인	길에서 고양이가 튀어나왔다. 	길 고양이를 집으로 데려왔다.	1
1591	여성은 현관 비밀번호를 까먹었다.	결과	여성은 비밀번호를 바꾼지 얼마 되지 않았다.	여성은 집에 들어가지 못했다.	2
1592	흙바닥에 사탕을 떨어트렸다.	결과	사탕 주변으로 개미가 꼬였다.	사탕 주변에 물이 생겼다.	1
1593	고무줄을 잡아당겼다.	결과	고무줄이 날라갔다.	고무줄이 늘어났다.	2
1594	빗물에 휴대폰이 젖었지만 고장나지 않았다.	원인	휴대폰은 방수 기능이 없다.	휴대폰에 방수 기능이 있다.	2
1595	남자는 뒷문으로 건물을 빠져나왔다.	원인	정문이 폐쇄되었다.	정문이 열려있었다.	1
1596	남자는 망각 증세가 심하다.	결과	남자는 노래를 불렀다.	남자는 자주 메모했다.	2
1597	거리에 연등이 달려 있다.	원인	오늘은 제헌절이다.	오늘은 개천절이다.	2
1598	머리를 감지 않은 남자가 외출을 하려고 한다.	결과	남자가 목도리를 둘렀다.	남자가 모자를 썼다.	2
1599	운동 중에 이온음료를 마셨다.	원인	목이 마르다.	허리가 아프다	1
1600	허리끈을 세게 조였다.	결과	숨쉬기가 편해졌다.	숨쉬기가 불편해졌다.	2
1601	남자가 국가유공자로 지정되었다.	원인	남자는 국가에 헌신했다.	남자는 국가를 배신했다.	1
1602	남성은 선크림을 발랐다.	원인	남성은 그늘에 앉아 있을 예정이다.	남성은 해변에 나갈 예정이다.	2
1603	급여를 받았다.	원인	쇼핑을 신나게 했다.	일을 열심히 했다.	2
1604	옷장에 제습제를 넣었다.	결과	옷장 속의 습기가 사라졌다.	옷장 속의 습기가 증가했다.	1
1605	발목 인대가 늘어났다.	결과	발에 깁스를 했다.	발에 반창고를 붙였다.	1
1606	화이트보드에 분필로 글자를 적었다.	결과	글자가 선명하게 적혔다.	글자가 잘 적히지 않았다.	2
1607	아이의 목이 쉬었다.	원인	아이가 조용한 목소리로 이야기를 많이 했다.	아이가 소리를 많이 질렀다.	2
1608	이어폰에서 소리가 나오지 않는다.	원인	이어폰이 제대로 꽂히지 않았다.	이어폰을 새로 구입했다.	1
1609	비밀번호를 잘못 입력했다.	결과	로그인이 되었다.	로그인이 되지 않는다.	2
1610	선생님이 학생을 칭찬했다.	원인	학생이 질문에 올바르게 답을 했다.	학생이 선생님에게 욕을 했다.	1
1611	계산원이 카운터의 금전 등록기를 열었다.	원인	손님이 신용카드를 내밀었다.	손님이 현금을 내밀었다.	2
1612	하수구에 커다란 부품이 들어갔다.	결과	하수구가 막힌다.	하수구가 뚫린다.	1
1613	아이가 하품을 한다.	원인	아이는 졸리다.	아이는 놀랐다.	1
1614	조개에 모래가 씹혔다.	원인	조개 해감을 제대로 시켰다.	조개 해감이 제대로 되지 않았다.	2
1615	세탁물이 잘 마르지 않는다.	원인	하루종일 비가 온다.	하루종일 해가 쨍쨍하다.	1
1616	상처를 소독했다.	결과	상처가 오염됐다.	상처가 깨끗해졌다.	2
1617	직원이 여성을 객실로 안내했다.	원인	한 여성이 직원에게 객실이 어디인지 물어봤다.	여성이 직원에게 키를 반납했다.	1
1618	사장은 직원을 째려보았다.	원인	사장은 직원이 한 일이 마음에 든다.	사장은 직원이 한 일이 마음에 들지 않는다.	2
1619	남자는 다리에 깁스를 했다.	원인	남자는 다리가 부러졌다.	남자는 다리털을 밀었다.	1
1620	마당에 잡초가 무성해졌다.	원인	여름이 되었다.	겨울이 되었다.	1
1621	벼루에 물을 담고 먹을 갈았다.	결과	벼루 안의 물이 투명해졌다.	먹물이 만들어졌다.	2
1622	침구에 섬유향수를 뿌렸다.	결과	침구에서 악취가 난다.	침구에서 좋은 향기가 난다.	2
1623	더러운 손으로 눈을 비볐다.	결과	눈병이 생긴다.	눈이 감긴다.	1
1624	선수단이 동계 훈련을 떠났다.	결과	선수들의 기량이 높아졌다.	선수들의 키가 커졌다.	1
1625	딱지를 뜯었다.	결과	딱지가 있던 자리에서 피가 난다.	딱지가 있던 자리에서 땀이 난다.	1
1626	나는 불쾌하다.	원인	모르는 여자가 나를 째려본다.	제일 친한 친구가 나에게 말을 걸었다.	1
1627	강아지가 오랜만에 주인을 만났다.	결과	강아지가 꼬리를 흔든다.	강아지가 짖는다.	1
1628	토끼의 귀가 쫑긋거린다.	원인	토끼가 병원에서 마취제를 맞고 잠들었다.	토끼가 어떤 소리를 포착했다.	2
1629	여자가 고양이의 눈 주위를 휴지로 닦았다.	원인	고양이의 코에 코딱지가 끼었다.	고양이의 눈에 눈곱이 끼었다.	2
1630	아이가 거리에서 울고 있다.	원인	아이는 장난감을 받았다.	아이는 길을 잃어버렸다.	2
1631	남자는 수수께끼 푸는 것을 어려워했다.	결과	남자가 수수께끼를 풀었다.	남자는 힌트를 요청했다.	2
1632	눈이 충혈되었다.	원인	오랫동안 컴퓨터 게임을 했다. 	부루마블을 했다.	1
1633	눈에 멍이 들었다.	결과	눈이 부어 앞이 보이지 않는다.	눈의 붓기가 빠져 앞지 잘 보인다.	1
1634	핸드크림을 발랐다.	원인	손이 건조하다.	손에서 향기가 난다.	1
1635	거실에 트리를 설치했다.	원인	크리스마스가 다가 왔다.	발렌타인데이가 다가 왔다.	1
1636	조개껍질을 주웠다.	원인	등산을 갔다.	바다에 갔다.	2
1637	대기표를 뽑았다.	원인	차례를 기다리는 사람이 많다.	차례를 기다리는 사람이 적다.	1
1638	우리팀 선수가 홈런을 쳤다.	원인	우리팀 관객이 실망했다.	우리팀 관객이 신나서 응원가를 불렀다.	2
1639	얼음을 냉동실에 보관했다.	결과	얼음이 녹았다.	얼음이 녹지 않았다.	2
1640	세탁이 끝난 옷을 세탁기에서 꺼냈다.	결과	옷이 더러워졌다.	옷을 햇볕이 잘 드는 빨래 건조대에 널었다.	2
1641	남자가 근육통이 심한 부위에 물리치료를 받았다.	결과	남자의 근육통이 심해졌다.	남자의 근육통이 완화되었다.	2
1642	감독이 촬영 종료 사인을 날렸다.	원인	감독이 원하는 장면을 모두 촬영했다.	감독이 원하는 장면을 아직 촬영하지 못했다.	1
1643	아이들이 고아원으로 보내졌다.	원인	아이들의 부모님이 아프다.	아이들의 부모님이 돌아가셨다.	2
1644	여자는 상복을 입었다.	원인	여자의 가족이 결혼한다.	여자의 가족이 죽었다.	2
1645	선풍기 날개를 세척했다.	원인	선풍기 바람이 강해졌다.	선풍기를 오랫동안 사용하지 않았다.	2
1646	남자는 내일 출근하지 않는다.	원인	내일은 월요일이다.	내일은 공휴일이다.	2
1647	그가 연필깎이에 연필을 넣고 돌렸다.	결과	연필이 뭉툭해졌다.	연필이 뾰족하게 깎였다.	2
1648	면봉에 귀지가 묻었다. 	원인	면봉으로 귀를 팠다.	귀이개로 귀를 팠다.	1
1649	휴대폰을 떨어뜨렸다.	결과	폰 액정이 깨졌다.	전화를 오랫동안 했다.	1
1650	여성은 모기에 물렸다.	결과	여성은 가려움을 느낀다.	여성은 피곤함을 느낀다.	1
1651	땀이 난다.	원인	냉탕에 들어갔다.	더운 사우나에서 찜질을 했다.	2
1652	시험을 망쳤다.	원인	밤새 게임을 했다.	문제집을 다 풀었다.	1
1653	건물 주차장이 텅텅 비었다.	결과	길 건너편에 주차했다.	주차장에 주차했다.	2
1654	중고차를 구입했다.	결과	차가 금방 망가졌다.	차를 잃어버렸다.	1
1655	손가락에 반지가 꼈다.	결과	손가락이 부었다.	손가락이 잘 움직인다.	1
1656	아이가 장화를 신었다.	원인	아이가 밖으로 나가려고 한다.	아이가 집으로 들어오려고 한다.	1
1657	그 남자는 군중 속에서 눈에 띄었다.	원인	남자가 배낭을 메고 있었다.	남자가 네온 조끼를 입고 있었다.	2
1658	기차가 속도를 줄였다.	원인	기차가 역에 접근하는 중이었다.	기차가 연착되었다.	1
1659	부동산 공인중개사 사무소에 갔다.	원인	자취방을 알아보려고 한다.	자취방 청소를 했다.	1
1660	비닐봉투가 찢어졌다.	원인	봉투에 날카롭고 무거운 물건이 들어있었다.	봉투에 가벼운 물건이 들어있었다.	1
1661	친구들이 보드게임 진행 방법을 내게 설명해주었다.	결과	나는 보드게임 하는 법을 배웠다.	나는 보드게임 하는 법을 모른다.	1
1662	바닷물이 깨끗해졌다.	원인	해수욕장을 몇 년간 봉쇄했다.	피서객들이 바다에 많이 들렀다.	1
1663	나뭇가지가 부러졌다.	원인	나뭇가지를 힘주어 잡아당겼다.	나뭇가지에 물을 뿌렸다.	1
1664	어깨에 쿨 파스를 붙였다.	원인	어깨에 상처가 있다.	어깨 근육이 뭉쳐 아프다.	2
1665	가게가 리모델링 공사를 마쳤다.	결과	가게가 다시 오픈했다.	가게가 폐업했다.	1
